VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58153.490	V-Johnson	87096.359  0.000	15.150  0.000	None	Unknown	Unknown
OBS:	  58110.630	g	27.401  58.650	23.906  2.324	None	Pan-STARRS1	GPC1
OBS:	  58111.500	g	33.302  52.319	23.694  1.706	None	Pan-STARRS1	GPC1
OBS:	  58111.510	i	20.538  34.636	24.219  1.831	None	Pan-STARRS1	GPC1
OBS:	  58111.620	g	13.844  54.379	24.647  4.265	None	Pan-STARRS1	GPC1
OBS:	  58112.470	g	-1.272  59.014	nan  -50.372	None	Pan-STARRS1	GPC1
OBS:	  58112.480	r	-1.303  66.386	nan  -55.317	None	Pan-STARRS1	GPC1
OBS:	  58112.640	g	-15.429  61.335	nan  -4.316	None	Pan-STARRS1	GPC1
OBS:	  58113.460	g	-51.867  50.720	nan  -1.062	None	Pan-STARRS1	GPC1
OBS:	  58113.470	i	-16.360  37.523	nan  -2.490	None	Pan-STARRS1	GPC1
OBS:	  58113.620	g	106.185  65.958	22.435  0.674	None	Pan-STARRS1	GPC1
OBS:	  58115.480	g	-62.916  121.144	nan  -2.091	None	Pan-STARRS1	GPC1
OBS:	  58115.480	i	27.471  69.528	23.903  2.748	None	Pan-STARRS1	GPC1
OBS:	  58115.620	g	-65.064  59.638	nan  -0.995	None	Pan-STARRS1	GPC1
OBS:	  58116.470	g	260.006  110.769	21.463  0.463	None	Pan-STARRS1	GPC1
OBS:	  58116.480	r	76.958  91.215	22.784  1.287	None	Pan-STARRS1	GPC1
OBS:	  58117.460	i	20.133  55.230	24.240  2.978	None	Pan-STARRS1	GPC1
OBS:	  58117.470	r	-57.493  75.166	nan  -1.419	None	Pan-STARRS1	GPC1
OBS:	  58117.630	g	1.537  52.207	27.033  36.871	None	Pan-STARRS1	GPC1
OBS:	  58118.650	i	-7.310  62.262	nan  -9.248	None	Pan-STARRS1	GPC1
OBS:	  58125.430	i	-10.235  61.600	nan  -6.535	None	Pan-STARRS1	GPC1
OBS:	  58125.440	z	-5.038  127.630	nan  -27.505	None	Pan-STARRS1	GPC1
OBS:	  58125.610	i	6.476  88.224	25.472  14.792	None	Pan-STARRS1	GPC1
OBS:	  58126.590	r	0.628  71.485	28.005  123.529	None	Pan-STARRS1	GPC1
OBS:	  58127.430	g	-6.133  64.437	nan  -11.407	None	Pan-STARRS1	GPC1
OBS:	  58127.440	r	84.481  58.032	22.683  0.746	None	Pan-STARRS1	GPC1
OBS:	  58127.550	r	4.231  53.975	25.934  13.850	None	Pan-STARRS1	GPC1
OBS:	  58128.430	g	72.490  72.993	22.849  1.093	None	Pan-STARRS1	GPC1
OBS:	  58128.440	i	27.946  72.122	23.884  2.802	None	Pan-STARRS1	GPC1
OBS:	  58128.580	g	-35.749  63.809	nan  -1.938	None	Pan-STARRS1	GPC1
OBS:	  58129.420	g	-165.382  280.927	nan  -1.844	None	Pan-STARRS1	GPC1
OBS:	  58129.600	g	-69.460  75.035	nan  -1.173	None	Pan-STARRS1	GPC1
OBS:	  58129.610	r	53.030  79.448	23.189  1.627	None	Pan-STARRS1	GPC1
OBS:	  58130.450	g	-3.221  62.579	nan  -21.094	None	Pan-STARRS1	GPC1
OBS:	  58130.460	i	-6.428  58.003	nan  -9.797	None	Pan-STARRS1	GPC1
OBS:	  58130.600	g	73.199  86.713	22.839  1.286	None	Pan-STARRS1	GPC1
OBS:	  58131.450	g	8.663  68.855	25.156  8.630	None	Pan-STARRS1	GPC1
OBS:	  58131.460	r	53.745  58.958	23.174  1.191	None	Pan-STARRS1	GPC1
OBS:	  58131.570	g	119.298  71.402	22.308  0.650	None	Pan-STARRS1	GPC1
OBS:	  58132.420	g	83.375  65.014	22.697  0.847	None	Pan-STARRS1	GPC1
OBS:	  58132.430	i	-77.950  67.647	nan  -0.942	None	Pan-STARRS1	GPC1
OBS:	  58132.550	g	-29.544  57.496	nan  -2.113	None	Pan-STARRS1	GPC1
OBS:	  58133.400	g	-19.874  56.878	nan  -3.107	None	Pan-STARRS1	GPC1
OBS:	  58133.410	r	21.240  48.416	24.182  2.475	None	Pan-STARRS1	GPC1
OBS:	  58133.560	g	73.402  60.722	22.836  0.898	None	Pan-STARRS1	GPC1
OBS:	  58134.570	g	1.945  60.390	26.778  33.713	None	Pan-STARRS1	GPC1
OBS:	  58135.410	g	-73.853  57.213	nan  -0.841	None	Pan-STARRS1	GPC1
OBS:	  58135.410	r	-69.634  61.371	nan  -0.957	None	Pan-STARRS1	GPC1
OBS:	  58135.580	g	221.867  84.239	21.635  0.412	None	Pan-STARRS1	GPC1
OBS:	  58138.420	g	36.252  56.568	23.602  1.694	None	Pan-STARRS1	GPC1
OBS:	  58138.430	i	-64.665  59.048	nan  -0.991	None	Pan-STARRS1	GPC1
OBS:	  58138.550	g	-66.398  59.381	nan  -0.971	None	Pan-STARRS1	GPC1
OBS:	  58139.560	g	111.230  76.228	22.384  0.744	None	Pan-STARRS1	GPC1
OBS:	  58140.550	g	-68.472  65.758	nan  -1.043	None	Pan-STARRS1	GPC1
OBS:	  58140.560	i	28.966  60.797	23.845  2.279	None	Pan-STARRS1	GPC1
OBS:	  58141.390	g	37.812  67.086	23.556  1.926	None	Pan-STARRS1	GPC1
OBS:	  58141.400	r	-62.031  66.784	nan  -1.169	None	Pan-STARRS1	GPC1
OBS:	  58144.560	g	443.333  94.580	20.883  0.232	None	Pan-STARRS1	GPC1
OBS:	  58144.570	i	395.428  105.892	21.007  0.291	None	Pan-STARRS1	GPC1
OBS:	  58152.330	i	54059.961  200.424	15.668  0.004	None	Pan-STARRS1	GPC1
OBS:	  58152.340	z	52091.740  265.437	15.708  0.006	None	Pan-STARRS1	GPC1
OBS:	  58153.330	i	66429.104  232.220	15.444  0.004	None	Pan-STARRS1	GPC1
OBS:	  58153.340	z	60401.518  292.259	15.547  0.005	None	Pan-STARRS1	GPC1
OBS:	  58153.490	i	70024.256  224.767	15.387  0.003	None	Pan-STARRS1	GPC1
OBS:	  58154.400	i	78407.102  706.134	15.264  0.010	None	Pan-STARRS1	GPC1
OBS:	  58157.370	g	161007.567  316.928	14.483  0.002	None	Pan-STARRS1	GPC1
OBS:	  58157.370	r	142780.790  274.142	14.613  0.002	None	Pan-STARRS1	GPC1
OBS:	  58158.470	g	180493.027  327.520	14.359  0.002	None	Pan-STARRS1	GPC1
OBS:	  58158.480	i	107062.685  268.405	14.926  0.003	None	Pan-STARRS1	GPC1
OBS:	  58159.480	g	189365.758  338.295	14.307  0.002	None	Pan-STARRS1	GPC1
OBS:	  58159.490	r	162035.161  290.287	14.476  0.002	None	Pan-STARRS1	GPC1
OBS:	  58159.500	z	99822.925  437.582	15.002  0.005	None	Pan-STARRS1	GPC1
OBS:	  58159.500	y	86010.394  718.064	15.164  0.009	None	Pan-STARRS1	GPC1
OBS:	  58160.350	g	193229.956  357.688	14.285  0.002	None	Pan-STARRS1	GPC1
OBS:	  58160.350	i	103619.433  271.598	14.961  0.003	None	Pan-STARRS1	GPC1
OBS:	  58160.490	g	197533.722  354.066	14.261  0.002	None	Pan-STARRS1	GPC1
OBS:	  58161.330	g	201213.207  340.569	14.241  0.002	None	Pan-STARRS1	GPC1
OBS:	  58161.340	r	173606.062  291.974	14.401  0.002	None	Pan-STARRS1	GPC1
OBS:	  58162.560	g	199023.609  364.010	14.253  0.002	None	Pan-STARRS1	GPC1
OBS:	  58162.570	i	99771.846  240.763	15.002  0.003	None	Pan-STARRS1	GPC1
OBS:	  58163.530	g	204154.419  336.701	14.225  0.002	None	Pan-STARRS1	GPC1
OBS:	  58167.510	r	166034.867  299.239	14.450  0.002	None	Pan-STARRS1	GPC1
OBS:	  58169.340	g	170964.910  329.293	14.418  0.002	None	Pan-STARRS1	GPC1
OBS:	  58169.350	r	153836.360  286.317	14.532  0.002	None	Pan-STARRS1	GPC1
OBS:	  58169.360	z	81874.035  396.801	15.217  0.005	None	Pan-STARRS1	GPC1
OBS:	  58169.360	y	48609.829  576.563	15.783  0.013	None	Pan-STARRS1	GPC1
OBS:	  58170.490	g	162671.426  341.621	14.472  0.002	None	Pan-STARRS1	GPC1
OBS:	  58184.280	g	65186.230  294.987	15.465  0.005	None	Pan-STARRS1	GPC1
OBS:	  58184.280	r	80234.313  290.741	15.239  0.004	None	Pan-STARRS1	GPC1
OBS:	  58184.290	i	49197.581  251.520	15.770  0.006	None	Pan-STARRS1	GPC1
OBS:	  58184.290	z	63608.544  325.955	15.491  0.006	None	Pan-STARRS1	GPC1
OBS:	  58184.290	y	54152.752  581.518	15.666  0.012	None	Pan-STARRS1	GPC1
OBS:	  58185.250	g	60650.843  203.047	15.543  0.004	None	Pan-STARRS1	GPC1
OBS:	  58185.250	r	80267.845  206.118	15.239  0.003	None	Pan-STARRS1	GPC1
OBS:	  58185.410	g	62297.917  190.352	15.514  0.003	None	Pan-STARRS1	GPC1
OBS:	  58195.290	g	30032.316  247.527	16.306  0.009	None	Pan-STARRS1	GPC1
OBS:	  58195.290	r	61323.792  288.518	15.531  0.005	None	Pan-STARRS1	GPC1
OBS:	  58195.290	i	55697.011  284.531	15.635  0.006	None	Pan-STARRS1	GPC1
OBS:	  58195.290	z	59326.408  396.292	15.567  0.007	None	Pan-STARRS1	GPC1
OBS:	  58195.290	y	66339.152  882.979	15.446  0.014	None	Pan-STARRS1	GPC1
OBS:	  58155.203	u	60992.265  1235.249	15.537  0.022	None	Swope	Direct/4Kx4K
OBS:	  58155.203	u	60992.265  1235.249	15.537  0.022	None	Swope	Direct/4Kx4K
OBS:	  58156.220	u	88386.593  4467.423	15.134  0.055	None	Swope	Direct/4Kx4K
OBS:	  58156.220	u	88386.593  4467.423	15.134  0.055	None	Swope	Direct/4Kx4K
OBS:	  58157.213	u	435616260338.768  16137722598.776	-1.598  0.040	None	Swope	Direct/4Kx4K
OBS:	  58161.221	u	96198.424  1911.876	15.042  0.022	None	Swope	Direct/4Kx4K
OBS:	  58161.221	u	96198.424  1911.876	15.042  0.022	None	Swope	Direct/4Kx4K
OBS:	  58162.250	u	5976894.612  136241.555	10.559  0.025	None	Swope	Direct/4Kx4K
OBS:	  58163.267	u	468542700597.000  7628146866.710	-1.677  0.018	None	Swope	Direct/4Kx4K
OBS:	  58164.214	u	26736557.166  195337.502	8.932  0.008	None	Swope	Direct/4Kx4K
OBS:	  58165.193	u	466125858728.579  12923901526.220	-1.671  0.030	None	Swope	Direct/4Kx4K
OBS:	  58166.196	u	72822.559  1646.788	15.344  0.025	None	Swope	Direct/4Kx4K
OBS:	  58166.196	u	72822.559  1646.788	15.344  0.025	None	Swope	Direct/4Kx4K
OBS:	  58170.189	u	22562.839  2578.176	16.617  0.124	None	Swope	Direct/4Kx4K
OBS:	  58171.179	u	43706.283  982.910	15.899  0.024	None	Swope	Direct/4Kx4K
OBS:	  58171.179	u	43706.283  982.910	15.899  0.024	None	Swope	Direct/4Kx4K
OBS:	  58172.164	u	244816.945  3588.181	14.028  0.016	None	Swope	Direct/4Kx4K
OBS:	  58174.202	u	34336.793  810.926	16.161  0.026	None	Swope	Direct/4Kx4K
OBS:	  58174.202	u	34336.793  810.926	16.161  0.026	None	Swope	Direct/4Kx4K
OBS:	  58175.210	u	27536.832  760.595	16.400  0.030	None	Swope	Direct/4Kx4K
OBS:	  58175.210	u	27536.832  760.595	16.400  0.030	None	Swope	Direct/4Kx4K
OBS:	  58176.222	u	145422243537.583  5895552329.632	-0.407  0.044	None	Swope	Direct/4Kx4K
OBS:	  58185.109	u	8456.122  319.714	17.682  0.041	None	Swope	Direct/4Kx4K
OBS:	  58185.109	u	8456.122  319.714	17.682  0.041	None	Swope	Direct/4Kx4K
OBS:	  58186.118	u	56715.738  1618.612	15.616  0.031	None	Swope	Direct/4Kx4K
OBS:	  58189.181	u	34689341741.691  3817605972.151	1.150  0.120	None	Swope	Direct/4Kx4K
OBS:	  58190.076	u	6104.901  339.312	18.036  0.060	None	Swope	Direct/4Kx4K
OBS:	  58190.076	u	6104.901  339.312	18.036  0.060	None	Swope	Direct/4Kx4K
OBS:	  58191.099	u	5294.282  283.035	18.190  0.058	None	Swope	Direct/4Kx4K
OBS:	  58191.099	u	5294.282  283.035	18.190  0.058	None	Swope	Direct/4Kx4K
OBS:	  58192.086	u	5024.377  282.958	18.247  0.061	None	Swope	Direct/4Kx4K
OBS:	  58192.086	u	5024.377  282.958	18.247  0.061	None	Swope	Direct/4Kx4K
OBS:	  58193.102	u	4555.867  228.889	18.354  0.055	None	Swope	Direct/4Kx4K
OBS:	  58194.086	u	4189.720  255.404	18.445  0.066	None	Swope	Direct/4Kx4K
OBS:	  58195.096	u	3288.167  294.501	18.708  0.097	None	Swope	Direct/4Kx4K
OBS:	  58196.078	u	4156.736  182.528	18.453  0.048	None	Swope	Direct/4Kx4K
OBS:	  58196.078	u	4156.736  182.528	18.453  0.048	None	Swope	Direct/4Kx4K
OBS:	  58197.097	u	3033.389  152.495	18.795  0.055	None	Swope	Direct/4Kx4K
OBS:	  58197.097	u	3033.389  152.495	18.795  0.055	None	Swope	Direct/4Kx4K
OBS:	  58198.038	u	3662.545  173.987	18.591  0.052	None	Swope	Direct/4Kx4K
OBS:	  58198.038	u	3662.545  173.987	18.591  0.052	None	Swope	Direct/4Kx4K
OBS:	  58200.085	u	2717.782  159.455	18.914  0.064	None	Swope	Direct/4Kx4K
OBS:	  58200.085	u	2717.782  159.455	18.914  0.064	None	Swope	Direct/4Kx4K
OBS:	  58201.069	u	2969.109  187.321	18.818  0.069	None	Swope	Direct/4Kx4K
OBS:	  58201.069	u	2969.109  187.321	18.818  0.069	None	Swope	Direct/4Kx4K
OBS:	  58203.087	u	2727.735  147.172	18.910  0.059	None	Swope	Direct/4Kx4K
OBS:	  58203.087	u	2727.735  147.172	18.910  0.059	None	Swope	Direct/4Kx4K
OBS:	  58215.075	u	17629463606.620  3294334418.589	1.884  0.203	None	Swope	Direct/4Kx4K
OBS:	  58220.030	u	2173.514  60.438	19.157  0.030	None	Swope	Direct/4Kx4K
OBS:	  58220.030	u	2173.514  60.438	19.157  0.030	None	Swope	Direct/4Kx4K
OBS:	  58225.035	u	2352.707  141.620	19.071  0.065	None	Swope	Direct/4Kx4K
OBS:	  58226.017	u	2070.744  89.309	19.210  0.047	None	Swope	Direct/4Kx4K
OBS:	  58226.017	u	2070.744  89.309	19.210  0.047	None	Swope	Direct/4Kx4K
OBS:	  58233.024	u	1633.300  98.822	19.467  0.066	None	Swope	Direct/4Kx4K
OBS:	  58233.024	u	1633.300  98.822	19.467  0.066	None	Swope	Direct/4Kx4K
OBS:	  58244.024	u	1383.138  54.116	19.648  0.042	None	Swope	Direct/4Kx4K
OBS:	  58244.024	u	1383.138  54.116	19.648  0.042	None	Swope	Direct/4Kx4K
OBS:	  58248.988	u	1422.902  58.086	19.617  0.044	None	Swope	Direct/4Kx4K
OBS:	  58248.988	u	1422.902  58.086	19.617  0.044	None	Swope	Direct/4Kx4K
OBS:	  58250.970	u	1404.949  212.281	19.631  0.164	None	Swope	Direct/4Kx4K
OBS:	  58255.022	u	1141.340  46.393	19.856  0.044	None	Swope	Direct/4Kx4K
OBS:	  58255.022	u	1141.340  46.393	19.856  0.044	None	Swope	Direct/4Kx4K
OBS:	  58260.967	u	304.954  96.788	21.289  0.345	None	Swope	Direct/4Kx4K
OBS:	  58260.967	u	304.954  96.788	21.289  0.345	None	Swope	Direct/4Kx4K
OBS:	  58272.960	u	788.687  31.264	20.258  0.043	None	Swope	Direct/4Kx4K
OBS:	  58272.960	u	788.687  31.264	20.258  0.043	None	Swope	Direct/4Kx4K
OBS:	  58275.951	g	6048.996  157.667	18.046  0.028	None	Swope	Direct/4Kx4K
OBS:	  58409.360	g	1315.585  40.362	19.702  0.033	None	Swope	Direct/4Kx4K
OBS:	  58409.371	V	1150.463  42.961	19.848  0.041	None	Swope	Direct/4Kx4K
OBS:	  58424.352	r	208.713  27.291	21.701  0.142	None	Swope	Direct/4Kx4K
OBS:	  58424.363	i	463.207  36.408	20.836  0.085	None	Swope	Direct/4Kx4K
OBS:	  58425.320	g	619.825  171.902	20.519  0.301	None	Swope	Direct/4Kx4K
OBS:	  58425.329	V	1178.709  39.327	19.821  0.036	None	Swope	Direct/4Kx4K
OBS:	  58425.337	B	1035.682  183.858	19.962  0.193	None	Swope	Direct/4Kx4K
OBS:	  58441.319	i	339.027  19.919	21.174  0.064	None	Swope	Direct/4Kx4K
OBS:	  58441.329	g	726.637  12.917	20.347  0.019	None	Swope	Direct/4Kx4K
OBS:	  58452.306	i	333.614  27.982	21.192  0.091	None	Swope	Direct/4Kx4K
OBS:	  58452.317	g	610.590  18.220	20.536  0.032	None	Swope	Direct/4Kx4K
OBS:	  58452.325	V	496.682  27.034	20.760  0.059	None	Swope	Direct/4Kx4K
OBS:	  58452.333	B	499.714  25.299	20.753  0.055	None	Swope	Direct/4Kx4K
OBS:	  58464.299	r	317.261  27.468	21.246  0.094	None	Swope	Direct/4Kx4K
OBS:	  58464.321	g	663.318  15.002	20.446  0.025	None	Swope	Direct/4Kx4K
OBS:	  58464.329	V	558.467  24.957	20.633  0.049	None	Swope	Direct/4Kx4K
OBS:	  58464.337	B	393.876  16.235	21.012  0.045	None	Swope	Direct/4Kx4K
OBS:	  58482.245	g	534.041  13.514	20.681  0.027	None	Swope	Direct/4Kx4K
OBS:	  58482.256	V	432.502  17.895	20.910  0.045	None	Swope	Direct/4Kx4K
OBS:	  58482.267	B	307.242  16.199	21.281  0.057	None	Swope	Direct/4Kx4K
OBS:	  58499.222	g	389.259  14.211	21.024  0.040	None	Swope	Direct/4Kx4K
OBS:	  58522.193	i	167.811  25.000	21.938  0.162	None	Swope	Direct/4Kx4K
OBS:	  58522.204	g	347.611  11.375	21.147  0.036	None	Swope	Direct/4Kx4K
OBS:	  58540.145	r	167.811  16.057	21.938  0.104	None	Swope	Direct/4Kx4K
OBS:	  58540.167	g	173.455  8.461	21.902  0.053	None	Swope	Direct/4Kx4K
OBS:	  58147.533	orange	13867.558  932.392	17.145  0.073	None	ATLAS	HKO
OBS:	  58152.333	i	57016.427  525.141	15.610  0.010	None	Pan-STARRS1	GPC1
OBS:	  58153.490	Unknown	87096.359  0.000	15.150  0.000	None	ASAS-SN	Brutus
OBS:	  58153.490	V	87096.359  0.000	15.150  0.000	None	ASAS-SN	Brutus
OBS:	  58213.701	G	24434.306  4500.965	16.530  0.200	None	Gaia	Gaia-Photometric
OBS:	  58385.526	r-ZTF	124119.503  754.501	14.765  0.007	None	P48	ZTF-Cam
OBS:	  58389.530	r-ZTF	122213.746  697.891	14.782  0.006	None	P48	ZTF-Cam
OBS:	  58425.499	r-ZTF	123094.911  396.811	14.774  0.004	None	P48	ZTF-Cam
OBS:	  58428.520	r-ZTF	126182.705  337.034	14.748  0.003	None	P48	ZTF-Cam
OBS:	  58431.525	r-ZTF	121730.669  381.202	14.786  0.003	None	P48	ZTF-Cam
OBS:	  58434.477	r-ZTF	118784.577  382.916	14.813  0.004	None	P48	ZTF-Cam
OBS:	  58439.374	r-ZTF	124554.718  424.461	14.762  0.004	None	P48	ZTF-Cam
OBS:	  58440.506	r-ZTF	123401.386  352.336	14.772  0.003	None	P48	ZTF-Cam
OBS:	  58442.375	r-ZTF	122902.279  1120.652	14.776  0.010	None	P48	ZTF-Cam
OBS:	  58443.462	r-ZTF	122394.010  439.643	14.781  0.004	None	P48	ZTF-Cam
OBS:	  58447.461	r-ZTF	123106.264  555.587	14.774  0.005	None	P48	ZTF-Cam
OBS:	  58448.430	r-ZTF	123253.737  601.661	14.773  0.005	None	P48	ZTF-Cam
OBS:	  58455.519	r-ZTF	123140.222  669.156	14.774  0.006	None	P48	ZTF-Cam
OBS:	  58461.453	g-ZTF	51394.891  359.757	15.723  0.008	None	P48	ZTF-Cam
OBS:	  58461.503	r-ZTF	124130.951  434.450	14.765  0.004	None	P48	ZTF-Cam
OBS:	  58464.466	g-ZTF	52042.733  273.219	15.709  0.006	None	P48	ZTF-Cam
OBS:	  58464.524	r-ZTF	125267.993  334.591	14.755  0.003	None	P48	ZTF-Cam
OBS:	  58467.454	g-ZTF	55903.623  2837.052	15.631  0.055	None	P48	ZTF-Cam
OBS:	  58467.521	r-ZTF	127303.425  2110.514	14.738  0.018	None	P48	ZTF-Cam
OBS:	  58471.526	r-ZTF	123799.825  353.474	14.768  0.003	None	P48	ZTF-Cam
OBS:	  58472.411	r-ZTF	126066.603  429.613	14.748  0.004	None	P48	ZTF-Cam
OBS:	  58480.441	r-ZTF	124589.076  401.628	14.761  0.004	None	P48	ZTF-Cam
OBS:	  58480.502	g-ZTF	52868.848  360.336	15.692  0.007	None	P48	ZTF-Cam
OBS:	  58481.421	r-ZTF	126928.713  374.098	14.741  0.003	None	P48	ZTF-Cam
OBS:	  58482.514	g-ZTF	52659.918  305.560	15.696  0.006	None	P48	ZTF-Cam
OBS:	  58486.475	r-ZTF	122924.951  328.332	14.776  0.003	None	P48	ZTF-Cam
OBS:	  58491.440	g-ZTF	52815.331  257.817	15.693  0.005	None	P48	ZTF-Cam
OBS:	  58492.475	r-ZTF	127162.723  995.530	14.739  0.009	None	P48	ZTF-Cam
OBS:	  58493.459	r-ZTF	125279.547  334.622	14.755  0.003	None	P48	ZTF-Cam
OBS:	  58494.468	g-ZTF	53638.915  247.016	15.676  0.005	None	P48	ZTF-Cam
OBS:	  58503.533	g-ZTF	50881.527  3397.612	15.734  0.072	None	P48	ZTF-Cam
OBS:	  58506.489	g-ZTF	52898.112  750.303	15.691  0.015	None	P48	ZTF-Cam
OBS:	  58506.553	r-ZTF	115228.540  870.261	14.846  0.008	None	P48	ZTF-Cam
OBS:	  58509.245	g-ZTF	52427.586  275.239	15.701  0.006	None	P48	ZTF-Cam
OBS:	  58509.286	r-ZTF	124222.463  411.887	14.764  0.004	None	P48	ZTF-Cam
OBS:	  58511.414	r-ZTF	124314.042  366.392	14.764  0.003	None	P48	ZTF-Cam
OBS:	  58512.435	r-ZTF	109445.984  8659.019	14.902  0.086	None	P48	ZTF-Cam
OBS:	  58523.213	r-ZTF	124956.881  333.760	14.758  0.003	None	P48	ZTF-Cam
OBS:	  58526.414	g-ZTF	52471.076  396.287	15.700  0.008	None	P48	ZTF-Cam
OBS:	  58534.273	g-ZTF	52747.273  893.909	15.694  0.018	None	P48	ZTF-Cam
OBS:	  58534.356	r-ZTF	119025.525  877.013	14.811  0.008	None	P48	ZTF-Cam
OBS:	  58538.233	r-ZTF	130580.949  3776.462	14.710  0.031	None	P48	ZTF-Cam
OBS:	  58541.254	g-ZTF	52684.161  344.520	15.696  0.007	None	P48	ZTF-Cam
OBS:	  58541.291	r-ZTF	127397.276  821.361	14.737  0.007	None	P48	ZTF-Cam
OBS:	  58546.298	r-ZTF	123549.212  330.000	14.770  0.003	None	P48	ZTF-Cam
OBS:	  58556.206	r-ZTF	122292.565  405.488	14.781  0.004	None	P48	ZTF-Cam
OBS:	  58556.270	g-ZTF	53851.776  342.235	15.672  0.007	None	P48	ZTF-Cam
OBS:	  58562.233	g-ZTF	54310.033  865.370	15.663  0.017	None	P48	ZTF-Cam
OBS:	  58567.191	g-ZTF	53742.761  272.244	15.674  0.005	None	P48	ZTF-Cam
OBS:	  58567.211	r-ZTF	124142.400  365.886	14.765  0.003	None	P48	ZTF-Cam
OBS:	  58572.191	g-ZTF	52384.178  506.600	15.702  0.010	None	P48	ZTF-Cam
OBS:	  58572.213	r-ZTF	123993.755  639.534	14.767  0.006	None	P48	ZTF-Cam
OBS:	  58575.207	g-ZTF	56301.497  757.092	15.624  0.015	None	P48	ZTF-Cam
OBS:	  58575.213	r-ZTF	126590.124  1119.301	14.744  0.010	None	P48	ZTF-Cam
OBS:	  58581.150	r-ZTF	127045.720  690.379	14.740  0.006	None	P48	ZTF-Cam
OBS:	  58581.213	g-ZTF	53772.462  282.300	15.674  0.006	None	P48	ZTF-Cam
OBS:	  58584.172	r-ZTF	124910.792  391.160	14.759  0.003	None	P48	ZTF-Cam
OBS:	  58584.226	g-ZTF	53372.814  334.276	15.682  0.007	None	P48	ZTF-Cam
OBS:	  58589.191	r-ZTF	127408.914  2170.937	14.737  0.019	None	P48	ZTF-Cam
OBS:	  58592.149	g-ZTF	53747.718  613.843	15.674  0.012	None	P48	ZTF-Cam
OBS:	  58592.232	r-ZTF	124085.165  605.719	14.766  0.005	None	P48	ZTF-Cam
