# CREATED_DATE: 2018-05-11T22:15:44.382Z
# MODIFIED_DATE: 2021-10-01T22:11:19.397Z
# STATUS: NeedsTemplate
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 6946; (20:34:52.32, +60:09:14.08)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2017eaw
# RA: 308.684325
# DEC: 60.1933333333333
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-05-14T00:00:00Z
# REDSHIFT: 0.00013
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-05-06T12:44:38Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.295158200860023
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2017eaw
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: True
# HAS_CHANDRA: True
# TAGS: [6, 19, 77]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57912.943	G	711213.514  131010.371	12.870  0.200	None	Gaia	Gaia-Photometric
OBS:	  57902.077	B	528203.828  8216.917	13.193  0.017	None	Swift	UVOT
OBS:	  57902.078	UVW2	15901.691  512.832	16.996  0.035	None	Swift	UVOT
OBS:	  57902.080	V	679379.458  12682.004	12.920  0.020	None	Swift	UVOT
OBS:	  57902.081	UVM2	10984.321  212.374	17.398  0.021	None	Swift	UVOT
OBS:	  57902.275	UVW2	19197.847  125.541	16.792  0.007	None	Swift	UVOT
OBS:	  57902.278	UVM2	10374.560  188.783	17.460  0.020	None	Swift	UVOT
OBS:	  57904.054	UVW1	40152.426  833.791	15.991  0.023	None	Swift	UVOT
OBS:	  57904.057	U	226218.359  2663.551	14.114  0.013	None	Swift	UVOT
OBS:	  57904.058	B	510665.269  5490.643	13.230  0.012	None	Swift	UVOT
OBS:	  57904.060	UVW2	9617.914  294.992	17.542  0.033	None	Swift	UVOT
OBS:	  57904.065	V	697220.206  8927.976	12.892  0.014	None	Swift	UVOT
OBS:	  57904.067	UVM2	5674.822  347.405	18.115  0.066	None	Swift	UVOT
OBS:	  57906.581	UVW1	24406.517  656.277	16.531  0.029	None	Swift	UVOT
OBS:	  57906.583	U	158596.894  2041.955	14.499  0.014	None	Swift	UVOT
OBS:	  57906.584	B	468105.079  4856.899	13.324  0.011	None	Swift	UVOT
OBS:	  57906.585	UVW2	6654.557  150.436	17.942  0.025	None	Swift	UVOT
OBS:	  57906.589	V	777595.008  8249.347	12.773  0.012	None	Swift	UVOT
OBS:	  57906.590	UVM2	2863.998  118.729	18.858  0.045	None	Swift	UVOT
OBS:	  57908.440	UVW1	18155.974  567.568	16.852  0.034	None	Swift	UVOT
OBS:	  57908.443	U	119864.168  1695.185	14.803  0.015	None	Swift	UVOT
OBS:	  57908.445	B	431733.844  4714.206	13.412  0.012	None	Swift	UVOT
OBS:	  57908.446	UVW2	5506.686  275.222	18.148  0.054	None	Swift	UVOT
OBS:	  57908.452	V	692910.544  8749.427	12.898  0.014	None	Swift	UVOT
OBS:	  57908.453	UVM2	2132.825  116.592	19.178  0.059	None	Swift	UVOT
OBS:	  57910.173	UVW1	16003.485  517.148	16.989  0.035	None	Swift	UVOT
OBS:	  57910.174	U	95231.650  1111.804	15.053  0.013	None	Swift	UVOT
OBS:	  57910.175	B	397565.487  3414.681	13.501  0.009	None	Swift	UVOT
OBS:	  57910.176	UVW2	4495.102  127.069	18.368  0.031	None	Swift	UVOT
OBS:	  57910.178	V	690342.637  6442.090	12.902  0.010	None	Swift	UVOT
OBS:	  57910.179	UVM2	1446.446  72.602	19.599  0.055	None	Swift	UVOT
OBS:	  57912.686	UVW1	12104.575  480.949	17.293  0.043	None	Swift	UVOT
OBS:	  57912.688	U	73180.428  1289.713	15.339  0.019	None	Swift	UVOT
OBS:	  57912.690	B	369926.283  4300.904	13.580  0.013	None	Swift	UVOT
OBS:	  57912.691	UVW2	3702.961  238.612	18.579  0.070	None	Swift	UVOT
OBS:	  57912.696	V	661628.419  8659.818	12.948  0.014	None	Swift	UVOT
OBS:	  57914.286	UVW1	11248.745  477.167	17.372  0.046	None	Swift	UVOT
OBS:	  57914.288	U	61902.226  1141.352	15.521  0.020	None	Swift	UVOT
OBS:	  57914.290	B	329515.042  3848.652	13.705  0.013	None	Swift	UVOT
OBS:	  57914.291	UVW2	3230.890  227.187	18.727  0.076	None	Swift	UVOT
OBS:	  57914.297	V	640582.842  8317.492	12.984  0.014	None	Swift	UVOT
OBS:	  57916.887	UVW1	9813.184  457.656	17.520  0.051	None	Swift	UVOT
OBS:	  57916.890	U	50248.824  1023.121	15.747  0.022	None	Swift	UVOT
OBS:	  57916.891	B	321323.376  4331.398	13.733  0.015	None	Swift	UVOT
OBS:	  57918.815	UVW1	8252.995  475.400	17.708  0.063	None	Swift	UVOT
OBS:	  57918.816	U	41304.077  964.768	15.960  0.025	None	Swift	UVOT
OBS:	  57918.816	B	298239.180  3804.370	13.814  0.014	None	Swift	UVOT
OBS:	  57918.817	UVW2	2543.255  222.777	18.987  0.095	None	Swift	UVOT
OBS:	  57918.819	V	647022.075  9780.876	12.973  0.016	None	Swift	UVOT
OBS:	  57920.796	UVW1	8122.309  421.588	17.726  0.056	None	Swift	UVOT
OBS:	  57920.799	U	37693.385  845.916	16.059  0.024	None	Swift	UVOT
OBS:	  57920.800	B	276488.484  3309.144	13.896  0.013	None	Swift	UVOT
OBS:	  57920.802	UVW2	2396.281  221.475	19.051  0.100	None	Swift	UVOT
OBS:	  57920.808	V	603541.415  7828.259	13.048  0.014	None	Swift	UVOT
OBS:	  57949.169	UVW1	3422.154  219.373	18.664  0.070	None	Swift	UVOT
OBS:	  57949.172	U	12937.698  349.242	17.220  0.029	None	Swift	UVOT
OBS:	  57949.173	B	173531.344  1543.873	14.402  0.010	None	Swift	UVOT
OBS:	  57949.174	UVW2	1080.476  158.472	19.916  0.159	None	Swift	UVOT
OBS:	  57949.179	V	547235.125  4764.799	13.155  0.009	None	Swift	UVOT
OBS:	  57962.583	UVW1	2755.319  62.706	18.900  0.025	None	Swift	UVOT
OBS:	  57962.586	U	8796.629  320.939	17.639  0.040	None	Swift	UVOT
OBS:	  57962.587	B	152574.090  1627.080	14.541  0.012	None	Swift	UVOT
OBS:	  57962.588	UVW2	1036.106  101.807	19.961  0.107	None	Swift	UVOT
OBS:	  57962.593	V	513827.835  5012.158	13.223  0.011	None	Swift	UVOT
OBS:	  57976.535	UVW1	1718.113  189.795	19.412  0.120	None	Swift	UVOT
OBS:	  57976.538	U	5466.854  302.035	18.156  0.060	None	Swift	UVOT
OBS:	  57976.538	B	113535.450  1943.900	14.862  0.019	None	Swift	UVOT
OBS:	  57977.937	V	393230.091  10918.638	13.513  0.030	None	Swift	UVOT
OBS:	  57981.182	UVW1	2003.633  90.242	19.245  0.049	None	Swift	UVOT
OBS:	  57981.183	U	3857.136  327.885	18.534  0.092	None	Swift	UVOT
OBS:	  57981.184	B	109690.713  1984.124	14.900  0.020	None	Swift	UVOT
OBS:	  57981.186	V	415248.955  6726.526	13.454  0.018	None	Swift	UVOT
OBS:	  57990.299	U	3402.188  201.341	18.671  0.064	None	Swift	UVOT
OBS:	  57990.300	B	76663.084  994.767	15.289  0.014	None	Swift	UVOT
OBS:	  57990.302	V	299882.239  3109.598	13.808  0.011	None	Swift	UVOT
OBS:	  58004.649	B	27886.628  804.208	16.387  0.031	None	Swift	UVOT
OBS:	  58004.655	V	112112.567  3385.410	14.876  0.033	None	Swift	UVOT
OBS:	  58009.429	B	16885.245  1061.031	16.931  0.068	None	Swift	UVOT
OBS:	  58009.433	V	66092.734  3366.594	15.450  0.055	None	Swift	UVOT
OBS:	  58209.944	V	9201.049  982.585	17.590  0.116	None	Swift	UVOT
OBS:	  58214.867	V	8153.958  655.728	17.722  0.087	None	Swift	UVOT
OBS:	  58214.874	B	4198.636  357.090	18.442  0.092	None	Swift	UVOT
OBS:	  58219.502	V	9307.582  794.798	17.578  0.093	None	Swift	UVOT
OBS:	  58219.510	B	3240.016  298.174	18.724  0.100	None	Swift	UVOT
OBS:	  58223.490	V	8370.399  668.795	17.693  0.087	None	Swift	UVOT
OBS:	  58223.502	B	2476.155  254.815	19.016  0.112	None	Swift	UVOT
OBS:	  58226.216	V	10003.670  933.867	17.500  0.101	None	Swift	UVOT
OBS:	  58226.224	B	2333.366  325.374	19.080  0.151	None	Swift	UVOT
OBS:	  58229.729	V	7563.757  844.313	17.803  0.121	None	Swift	UVOT
OBS:	  58229.737	B	3060.579  326.976	18.785  0.116	None	Swift	UVOT
OBS:	  58234.574	V	9691.695  914.040	17.534  0.102	None	Swift	UVOT
OBS:	  58234.582	B	2879.365  294.632	18.852  0.111	None	Swift	UVOT
OBS:	  58239.959	V	7462.355  804.493	17.818  0.117	None	Swift	UVOT
OBS:	  58239.966	B	3600.535  348.835	18.609  0.105	None	Swift	UVOT
OBS:	  58254.649	V	4052.978  612.554	18.481  0.164	None	Swift	UVOT
OBS:	  58254.656	B	1820.056  328.802	19.350  0.196	None	Swift	UVOT
OBS:	  58259.768	V	5377.486  764.623	18.174  0.154	None	Swift	UVOT
OBS:	  58264.269	V	5310.802  726.423	18.187  0.149	None	Swift	UVOT
OBS:	  58264.278	B	1542.920  228.096	19.529  0.161	None	Swift	UVOT
OBS:	  58269.460	V	4846.112  754.116	18.287  0.169	None	Swift	UVOT
OBS:	  58269.467	B	1878.703  299.657	19.315  0.173	None	Swift	UVOT
OBS:	  58279.007	V	4081.135  614.760	18.473  0.164	None	Swift	UVOT
OBS:	  58279.016	B	2723.233  320.090	18.912  0.128	None	Swift	UVOT
OBS:	  58284.924	B	2502.045  314.891	19.004  0.137	None	Swift	UVOT
OBS:	  58299.490	V	4048.225  726.875	18.482  0.195	None	Swift	UVOT
OBS:	  59196.675	U	231.206  230.781	21.590  1.080	None	Swift	UVOT
OBS:	  57887.438	V	566006.415  2959.712	13.118  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57887.439	B	529464.999  3304.185	13.191  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57887.440	ip	537528.992  2133.455	13.174  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57887.441	rp	546409.100  2145.338	13.156  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57887.454	gp	566689.006  2548.528	13.116  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57887.455	rp	551841.335  2188.437	13.146  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57887.456	ip	526414.361  2437.083	13.197  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57888.346	V	639759.011  1697.253	12.985  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57888.350	R	776107.686  1760.923	12.775  0.002	None	Siding_Spring_1m	Sinistro
OBS:	  57888.364	B	567881.146  2137.498	13.115  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57888.368	V	671436.893  5196.761	12.933  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57888.373	gp	619717.448  1807.236	13.020  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57888.375	rp	642249.600  1651.839	12.981  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57888.378	ip	639509.098  1860.568	12.986  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57888.394	B	571054.115  2171.029	13.108  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57888.398	V	650295.768  1695.479	12.967  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57888.406	R	757684.522  3532.105	12.801  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57889.396	ip	742866.213  2959.264	12.823  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57889.410	B	593871.149  2172.186	13.066  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57889.416	V	721727.518  1853.771	12.854  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57889.417	gp	668856.073  1746.176	12.937  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57889.423	rp	735298.997  1719.221	12.833  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57889.426	ip	751147.614  2107.115	12.811  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57891.374	gp	689643.118  2415.763	12.904  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57891.375	rp	815859.149  2504.372	12.721  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57891.376	ip	864774.990  2644.979	12.658  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57891.379	B	603810.667  2051.629	13.048  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57891.381	R	1031753.783  2115.882	12.466  0.002	None	Siding_Spring_1m	Sinistro
OBS:	  57891.383	V	769372.131  1783.272	12.784  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57891.439	B	604078.744  2184.101	13.048  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57891.441	V	778390.620  2390.505	12.772  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57891.445	gp	700537.882  1775.882	12.886  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57891.448	rp	829018.992  1932.037	12.704  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57891.450	ip	873454.120  2443.542	12.647  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57892.365	gp	691902.925  2613.766	12.900  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57892.366	rp	848498.980  2811.842	12.678  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57892.367	ip	893199.963  2960.661	12.623  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57893.327	B	595324.839  2468.226	13.063  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57893.329	V	774722.624  2769.832	12.777  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57893.333	gp	698439.307  1971.632	12.890  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57893.336	rp	854940.452  2217.994	12.671  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57893.337	ip	893610.123  2949.034	12.622  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57893.407	gp	700769.197  2724.219	12.886  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57893.408	rp	857766.828  2909.878	12.666  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57893.409	ip	910238.193  3049.969	12.602  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57895.317	B	579062.289  3209.795	13.093  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57895.320	V	748774.853  3422.078	12.814  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57895.321	gp	678485.577  2629.892	12.921  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57895.328	ip	877173.076  3560.609	12.642  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57895.331	rp	850804.496  3581.190	12.675  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57896.402	B	564962.198  2291.213	13.120  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57896.406	V	739631.525  2658.981	12.828  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57896.409	gp	666292.217  1945.970	12.941  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57896.411	rp	848515.451  2205.709	12.679  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57896.414	ip	874804.208  2613.693	12.645  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57897.397	B	579666.097  3726.273	13.092  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57897.401	V	732015.008  2344.097	12.839  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57897.404	gp	662740.462  1676.654	12.947  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57897.406	rp	841623.676  1981.364	12.687  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57897.408	ip	858203.876  2460.915	12.667  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57897.443	gp	659402.899  2352.852	12.952  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57897.444	rp	846509.975  2666.286	12.681  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57897.445	ip	853116.100  3262.515	12.672  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57898.338	Unknown	534465.747  1935.798	13.180  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57898.338	B	534465.747  1935.798	13.180  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57898.341	V	719079.138  2314.062	12.858  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57898.344	gp	647088.449  1654.830	12.973  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57898.346	rp	846770.481  1994.199	12.680  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57898.349	ip	842010.779  2458.133	12.687  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57898.451	gp	638374.335  2317.211	12.987  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57898.452	rp	835582.643  2592.080	12.695  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57898.453	ip	831286.653  3141.697	12.701  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57899.450	gp	610779.725  5520.476	13.035  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57899.451	rp	824252.108  6952.698	12.710  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57899.452	ip	812063.890  6602.567	12.726  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57900.298	rp	813951.692  2873.553	12.723  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57900.299	ip	805172.598  3466.397	12.735  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57900.447	gp	619390.986  2216.438	13.020  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57900.448	rp	830733.150  2487.444	12.701  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57900.449	ip	812241.884  2971.611	12.726  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57902.317	Unknown	471378.350  1979.658	13.317  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57902.317	B	471378.350  1979.658	13.317  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57902.319	V	669704.750  2375.893	12.935  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57902.323	gp	586511.214  2002.845	13.079  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57902.324	rp	815920.865  2491.957	12.721  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57902.327	ip	806638.722  2499.902	12.733  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57906.325	B	423551.147  2166.095	13.433  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57906.329	V	675383.974  2373.755	12.926  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57906.333	gp	557138.028  1756.089	13.135  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57906.334	rp	821530.624  2062.882	12.713  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57906.337	ip	789343.342  2351.495	12.757  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57907.376	B	419397.249  1465.174	13.443  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57907.379	V	675203.814  2023.217	12.926  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57907.382	gp	566469.431  1347.526	13.117  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57907.385	rp	840184.887  1882.298	12.689  0.002	None	Siding_Spring_1m	Sinistro
OBS:	  57907.387	ip	812851.146  2256.587	12.725  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57907.399	ip	831535.656  2311.897	12.700  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57907.447	gp	562589.175  1936.010	13.125  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57907.448	rp	861117.460  2533.033	12.663  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57907.449	ip	824497.468  2415.262	12.710  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57908.372	gp	556274.902  1759.193	13.137  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57908.374	rp	854653.482  2393.909	12.671  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57908.381	B	406402.722  1399.798	13.478  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57908.384	V	686560.886  2023.016	12.908  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57908.388	gp	561938.932  1324.355	13.125  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57908.391	rp	859218.433  1880.330	12.665  0.002	None	Siding_Spring_1m	Sinistro
OBS:	  57908.394	ip	843031.279  2269.241	12.685  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57908.396	B	405452.276  1296.224	13.480  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57908.398	V	694188.688  1523.236	12.897  0.002	None	Siding_Spring_1m	Sinistro
OBS:	  57908.400	R	1041693.668  2026.466	12.456  0.002	None	Siding_Spring_1m	Sinistro
OBS:	  57908.403	gp	554599.084  1733.612	13.140  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57908.404	rp	853518.394  2384.814	12.672  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57908.405	ip	830448.675  2311.168	12.702  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57909.374	gp	528689.625  1817.709	13.192  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57909.386	B	379777.749  1348.224	13.551  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57909.389	V	670593.632  2044.165	12.934  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57909.392	gp	536697.806  1306.840	13.176  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57909.394	rp	835045.475  1866.579	12.696  0.002	None	Siding_Spring_1m	Sinistro
OBS:	  57909.396	ip	822621.979  2229.820	12.712  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57909.409	gp	536098.331  1723.190	13.177  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57909.410	rp	832141.759  2361.604	12.699  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57909.411	ip	831692.536  2283.220	12.700  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57910.286	ip	827951.254  2499.000	12.705  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57910.293	gp	519202.916  1876.402	13.211  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57910.294	rp	842466.996  2551.426	12.687  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57910.388	V	669185.299  2131.825	12.936  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57910.390	gp	522816.018  1622.614	13.204  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57910.393	rp	843665.701  1966.171	12.684  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57910.396	ip	836834.855  2300.196	12.693  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57915.261	ip	802572.503  2538.097	12.739  0.003	None	Siding_Spring_1m	Sinistro
OBS:	  57915.262	gp	454697.137  2024.454	13.356  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57915.263	rp	793083.904  2562.407	12.752  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57916.332	gp	446931.997  1871.611	13.374  0.005	None	Siding_Spring_1m	Sinistro
