# CREATED_DATE: 2017-12-12T14:48:45.214Z
# MODIFIED_DATE: 2021-10-01T22:11:12.500Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ibn
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: 2MASX J07020343-5518433; (07:02:03.43, -55:18:43.60)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2017iwp
# RA: 105.436291666667
# DEC: -55.3055611111111
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-12-10T12:36:00Z
# REDSHIFT: 0.061
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-11-07T19:04:48Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.0796
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: False
# K2_MSG: 200 Success
# TNS_SPEC_CLASS: SN Ibn
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2017iwp
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: []

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58097.525	G-Gaia	3597.493  662.683	18.610  0.200	None	Unknown	Unknown
OBS:	  58122.212	B	1249.094  1249.094	19.759  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58122.218	V	1114.615  1114.615	19.882  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58122.225	gp	879.887  879.887	20.139  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58122.230	rp	860.584  860.584	20.163  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58122.234	ip	1011.701  1011.701	19.987  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58123.806	B	815.214  815.214	20.222  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58123.812	V	3649.565  3649.565	18.594  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58123.815	gp	1755.977  1755.977	19.389  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58123.821	rp	5178.402  5178.402	18.215  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58123.825	ip	1748.151  1748.151	19.394  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58124.822	B	731.718  731.718	20.339  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58124.830	V	1093.787  1093.787	19.903  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58124.834	gp	590.467  590.467	20.572  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58124.839	rp	769.433  769.433	20.285  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58124.843	ip	1104.998  1104.998	19.892  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58127.205	B	1870.650  1870.650	19.320  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58127.209	V	2687.664  2687.664	18.927  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58127.212	gp	1331.176  1331.176	19.689  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58127.219	rp	1895.218  1895.218	19.306  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58127.221	ip	2790.730  2790.730	18.886  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58127.850	B	1293.363  1293.363	19.721  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58127.853	V	1811.461  1811.461	19.355  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58127.857	gp	676.909  676.909	20.424  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58127.863	rp	846.283  846.283	20.181  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58127.867	ip	1842.474  1842.474	19.336  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58129.097	B	990.352  990.352	20.011  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58129.103	V	1297.428  1297.428	19.717  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58129.107	gp	773.127  773.127	20.279  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58129.113	rp	1049.221  1049.221	19.948  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58129.117	ip	2050.268  2050.268	19.220  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58130.100	B	1074.125  1074.125	19.922  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58130.103	V	1720.721  1720.721	19.411  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58130.107	gp	3234.704  3234.704	18.725  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58131.046	B	1529.462  1529.462	19.539  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58131.052	V	1267.701  1267.701	19.742  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58131.056	gp	776.563  776.563	20.275  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58131.061	rp	1192.433  1192.433	19.809  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58131.067	ip	1296.624  1296.624	19.718  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58131.864	B	886.430  886.430	20.131  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58131.867	V	2339.167  2339.167	19.077  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58131.871	gp	722.945  722.945	20.352  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58131.877	rp	555.397  555.397	20.638  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58131.881	ip	1164.306  1164.306	19.835  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58133.080	B	1356.580  1356.580	19.669  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58133.087	V	1219.002  1219.002	19.785  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58133.092	gp	630.567  630.567	20.501  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58133.095	rp	770.803  770.803	20.283  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58133.099	ip	1124.858  1124.858	19.872  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58134.118	B	2276.195  2276.195	19.107  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58134.124	V	2794.784  2794.784	18.884  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58134.128	gp	1342.954  1342.954	19.680  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58134.136	rp	2463.656  2463.656	19.021  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58134.140	ip	3892.896  3892.896	18.524  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58134.303	B	910.639  910.639	20.102  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58134.310	V	898.984  898.984	20.116  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58134.315	gp	509.982  509.982	20.731  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58134.318	rp	584.533  584.533	20.583  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58134.322	ip	738.103  738.103	20.330  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58136.033	B	2550.855  2550.855	18.983  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58136.048	V	927.349  927.349	20.082  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58136.052	gp	467.446  467.446	20.826  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58136.062	rp	474.096  474.096	20.810  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58136.070	ip	612.951  612.951	20.531  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58137.065	B	803.949  803.949	20.237  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58137.076	V	793.149  793.149	20.252  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58137.084	gp	481.177  481.177	20.794  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58137.094	rp	612.231  612.231	20.533  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58137.106	ip	1510.391  1510.391	19.552  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58138.069	B	464.910  464.910	20.832  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58138.078	V	549.920  549.920	20.649  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58138.088	gp	357.222  357.222	21.118  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58138.097	rp	523.003  523.003	20.704  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58138.101	ip	1042.849  1042.849	19.954  1.086	None	Siding_Spring_1m	Sinistro
# END: 
