Transient,id,ra,dec,disc_date,TransientStatus
2021zze,92956,224.78785416666665,48.58410555555556,2021-09-29 03:16:16.320000,Ignore
2021zyx,92949,167.769375,-46.151719444444446,2021-09-18 16:20:38.400000,Ignore
2021zyw,92948,276.6742083333333,-26.249730555555555,2021-09-18 11:51:21.600000,Ignore
2021zyu,92944,12.374204166666663,23.861191666666667,2021-09-26 06:44:38.400000,Ignore
2021zyt,92943,337.51559166666664,18.22236388888889,2021-09-28 05:29:45.600000,Ignore
2021zyr,92941,252.32338333333328,1.855138888888889,2021-09-04 06:20:09.600000,Ignore
2021zyq,92940,321.3934458333333,-6.284180555555555,2021-09-28 07:06:14.400000,Ignore
2021zyp,92935,359.522489669022,-10.650242803479252,2021-09-28 00:00:00,Ignore
2021zyo,92934,324.37676666666664,-2.5135666666666667,2021-09-28 07:16:19.200000,Ignore
2021zyn,92933,342.3696172541121,-14.667269395060762,2021-09-28 00:00:00,Ignore
2021zym,92932,13.105967032145706,-17.98983083337746,2021-09-28 00:00:00,Ignore
2021zyl,92931,357.9517833333333,-16.40281111111111,2021-09-28 00:00:00,Ignore
2021zyk,92930,357.48914999999994,-13.166780555555556,2021-09-28 09:38:52.800000,Ignore
2021zyj,92929,330.164225,-6.759397222222222,2021-09-28 00:00:00,Ignore
2021zyi,92928,324.685925,-2.8314888888888885,2021-09-28 07:07:40.800000,Ignore
2021zyh,92927,355.1150059281115,-9.75262790813002,2021-09-28 00:00:00,Ignore
2021zyg,92926,10.27955,-19.83659722222222,2021-09-28 00:00:00,Ignore
2021zyf,92925,326.6893916666666,-1.7562194444444446,2021-09-28 07:13:26.400000,Ignore
2021zye,92924,2.2991937343809874,-15.828321853072726,2021-09-28 00:00:00,Ignore
2021zyc,92922,79.11955000373601,-30.83672338670128,2021-10-20 00:00:00,Ignore
2021zyb,92921,288.6192083333333,-12.959088888888887,2021-09-18 10:23:31.200000,Ignore
2021zxw,92916,271.15508333333327,-33.739111111111114,2021-09-18 03:54:43.200000,Ignore
2021zxv,92915,251.33016666666663,-46.306288888888886,2021-09-18 05:19:40.800000,Ignore
2021zxt,92913,274.5897916666666,-33.80196111111111,2021-09-17 15:57:36,Ignore
2021zxs,92912,288.2507916666666,-18.48251944444444,2021-09-17 12:04:19.200000,Ignore
2021zxr,92911,354.61662499999994,27.048527777777775,2021-09-28 16:24:24.768000,Ignore
2021zxo,92908,240.3492375,16.2182,2021-09-29 03:10:46.272000,Ignore
2021zxm,92902,309.1679541666667,-18.19063333333333,2021-08-27 05:00:57.600000,Ignore
2021zxl,92901,240.5115,48.13605,2021-09-13 03:30:14.400000,Ignore
2021zxk,92900,44.14763333333333,-4.199325,2021-09-12 10:26:24,Ignore
2021zxj,92899,1.5543333333333331,31.298033333333336,2021-09-14 08:57:07.200000,Ignore
2021zxi,92898,279.2408875,36.73023333333334,2021-09-16 04:42:14.400000,Ignore
2021zxh,92897,312.36614999999995,14.254672222222222,2021-09-20 03:59:02.400000,Ignore
2021zxg,92896,95.25221666666664,51.09680277777778,2021-09-22 11:54:14.400000,Ignore
2021zxe,92894,304.70573749999994,14.535163888888889,2021-09-23 07:13:26.400000,Ignore
2021zxc,92892,38.47854999999999,-21.81611944444445,2021-09-27 09:33:07.200000,Ignore
2021zxb,92891,101.2703625,41.04550555555555,2021-09-27 10:13:26.400000,Ignore
2021zxa,92890,355.836825,33.727691666666665,2021-09-19 08:15:21.600000,Ignore
2021zwz,92889,23.1126,17.630244444444443,2021-09-28 10:13:26.400000,Ignore
2021zww,92886,259.0672208333333,-24.67606388888889,2021-09-28 05:38:24,Ignore
2021zwu,92884,330.065725,-11.431022222222222,2021-09-28 08:38:24,Ignore
2021zwt,92883,10.244408333333332,-28.252055555555557,2021-09-28 11:06:43.200000,Ignore
2021zws,92882,267.2704375,-3.3173194444444443,2021-09-27 03:18:33.696000,Ignore
2021zwr,92881,258.4709666666666,7.968791666666667,2021-09-27 03:14:23.136000,Ignore
2021zwq,92880,249.1609375,11.50122222222222,2021-09-27 02:57:40.032000,Ignore
2021zwp,92879,234.359625,21.08643888888889,2021-09-27 02:49:18.048000,Ignore
2021zwo,92878,244.80618333333328,10.443125,2021-09-27 02:45:06.624000,Ignore
2021zwn,92877,333.64974583333327,38.39299722222222,2021-09-28 05:51:02.592000,Ignore
2021zwm,92876,10.4647,26.6224,2021-09-15 08:52:48,Ignore
2021zwk,92872,267.12739166666665,23.2179,2021-09-22 03:22:32.998000,Ignore
2021zwj,92871,319.19149166666665,16.931394444444447,2021-09-23 05:12:00.003000,Ignore
2021zwi,92870,280.01407916666665,28.859111111111112,2021-09-28 04:38:04.998000,Ignore
2021zwh,92869,293.1230166666667,59.39207777777778,2021-09-23 04:54:16.004000,Ignore
2021zwg,92868,260.9930416666666,19.34051111111111,2021-09-28 04:57:28.002000,Ignore
2021zwf,92867,299.9584791666666,54.241905555555554,2021-09-28 04:55:14.998000,Ignore
2021zwe,92866,301.9814416666666,62.74422777777778,2021-09-23 07:22:27.998000,Ignore
2021zwd,92865,327.4945291666666,-20.60825,2021-09-26 05:46:21.999000,Ignore
2021zwb,92863,327.3723833333333,-25.60041388888889,2021-09-26 05:46:21.999000,Ignore
2021zwa,92862,331.8983379221581,-14.352702057644382,2021-09-28 00:00:00,Ignore
2021zvz,92861,323.9607541666666,-19.09612222222222,2021-09-28 05:32:53.002000,Ignore
2021zvy,92860,3.2550958333333333,19.422372222222226,2021-09-28 05:55:20.997000,Ignore
2021zvx,92859,2.69685,17.39666111111111,2021-09-28 05:55:20.997000,Ignore
2021zvw,92858,338.65348333333327,11.594469444444446,2021-09-28 05:57:23.996000,Ignore
2021zvv,92857,343.3696583333333,14.944197222222222,2021-09-28 05:57:23.996000,Ignore
2021zvu,92856,4.7867083333333325,10.507244444444444,2021-09-27 08:42:43.200000,Ignore
2021zvt,92855,30.330616553745845,-8.105784860320913,2021-09-04 00:00:00,Ignore
2021zvs,92854,60.28667916666665,13.242880555555557,2021-09-11 12:23:02.400000,Ignore
2021zvr,92853,26.053522103669373,-6.308598956924104,2021-09-08 00:00:00,Ignore
2021zvq,92852,347.27090643172096,-17.94574498652411,2021-09-13 00:00:00,Ignore
2021zvp,92851,343.9329458333333,17.300250000000002,2021-09-13 07:14:52.800000,Ignore
2021zvo,92850,16.92311666666666,2.357816666666667,2021-09-04 12:28:48,Ignore
2021zvn,92849,346.48276798804045,-18.724592097124464,2021-09-13 00:00:00,Ignore
2021zvm,92848,45.35888762669792,8.3728340698254,2021-09-13 00:00:00,Ignore
2021zvk,92846,56.97704583333332,5.843438888888889,2021-09-15 12:40:19.200000,Ignore
2021zvj,92845,338.900291833496,2.659203420881409,2021-09-09 00:00:00,Ignore
2021zvh,92843,68.80038333333333,-1.281197222222222,2021-09-13 13:23:31.200000,Ignore
2021zvg,92842,41.0575375,-8.04298611111111,2021-09-04 14:05:16.800000,Ignore
2021zvf,92841,305.1440125,-18.24309166666667,2021-09-04 07:32:09.600000,Ignore
2021zve,92840,25.59584384049696,-2.296499513083904,2021-09-08 00:00:00,Ignore
2021zvd,92839,45.73830416666666,-8.139005555555554,2021-09-18 14:28:19.200000,Ignore
2021zvc,92838,322.33080416666667,5.063841666666667,2021-09-10 07:04:48,Ignore
2021zvb,92837,359.8827583333333,-28.742397222222223,2021-09-10 10:30:43.200000,Ignore
2021zva,92836,354.84975138853287,0.1263387211116586,2021-09-13 00:00:00,Ignore
2021zuz,92835,53.97137083333333,-12.45159722222222,2021-09-18 14:35:31.200000,Ignore
2021zuy,92834,347.3939083333333,7.297516666666667,2021-09-13 00:00:00,Ignore
2021zux,92833,331.80147916666664,16.9672,2021-09-13 07:01:55.200000,Ignore
2021zuw,92832,21.78219583333333,-3.5832694444444444,2021-09-08 12:48:57.600000,Ignore
2021zuv,92831,48.992279166666655,-11.837583333333336,2021-09-18 14:13:55.200000,Ignore
2021zut,92829,10.146279166666666,0.5191666666666667,2021-09-04 11:18:14.400000,Ignore
2021zus,92752,289.39537083333335,-29.889588888888888,2021-09-28 06:08:38.400000,Ignore
2021zur,92732,68.09470833333333,-6.326072222222222,2021-09-17 13:45:07.200000,Ignore
2021zuq,92731,345.2244208333333,3.648933333333333,2021-09-01 09:24:28.800000,Ignore
2021zup,92730,45.41654523395856,-3.911631202080752,2021-09-04 00:00:00,Ignore
2021zun,92728,33.388811728886765,21.813295713857656,2021-09-13 00:00:00,Ignore
2021zum,92727,322.05749999999995,22.92778055555556,2021-09-23 05:09:36,Ignore
2021zul,92726,337.392125,-24.05431111111111,2021-09-10 09:14:24,Ignore
2021zuk,92725,29.28759583333333,-5.890916666666667,2021-09-08 12:57:36,Ignore
2021zuj,92724,356.99592916666666,-23.440594444444443,2021-09-13 00:00:00,Ignore
2021zui,92723,40.755741666666665,-3.566247222222222,2021-09-04 14:03:50.400000,Ignore
2021zuh,92722,35.1310375,-2.3790722222222223,2021-09-04 13:56:38.400000,Ignore
2021zug,92721,29.753816666666665,-2.769597222222222,2021-09-08 12:56:09.600000,Ignore
2021zuf,92720,359.456425,19.746602777777778,2021-09-13 00:00:00,Ignore
2021zue,92719,55.11027453881703,-23.88979344370773,2021-09-13 00:00:00,Ignore
2021zuc,92717,44.45213333333333,-1.781675,2021-09-04 14:02:24,Ignore
2021zub,92716,27.16268701496123,-3.853501324893744,2021-09-08 00:00:00,Ignore
2021zua,92715,15.544108333333332,9.237263888888888,2021-09-27 08:52:48,Ignore
2021ztz,92584,3.1115546728826597,17.197568235605804,2021-09-27 00:00:00,Ignore
2021ztx,92810,45.94429583333333,-12.420494444444444,2021-09-27 13:50:52.800000,Ignore
2021ztv,92808,309.056125,13.177480555555556,2021-09-17 06:44:38.400000,Ignore
2021ztp,92802,327.7595416666666,36.2141,2021-09-16 23:26:52.800000,Ignore
2021zto,92801,138.86924999999997,-26.563469444444443,2021-09-16 09:48:57.600000,Ignore
2021ztm,92799,26.59940833333333,2.6609833333333333,2021-09-04 12:36:00,Ignore
2021ztl,92798,22.70142083333333,7.054605555555556,2021-09-04 12:31:40.800000,Ignore
2021ztk,92797,8.685087227476036,-20.24604742491553,2021-09-07 00:00:00,Ignore
2021ztj,92796,21.948161244370144,6.947371467612205,2021-09-04 00:00:00,Ignore
2021zti,92795,37.9275875,-21.351922222222225,2021-09-13 12:02:52.800000,Ignore
2021zth,92794,42.15257239451842,-8.290473089586396,2021-09-04 00:00:00,Ignore
2021ztg,92793,26.99628831744905,-9.193886076741569,2021-09-08 00:00:00,Ignore
2021ztf,92792,24.06029190289313,-2.8599326437402173,2021-09-08 00:00:00,Ignore
2021zte,92791,47.36689166666666,-19.147783333333333,2021-09-11 13:52:19.200000,Ignore
2021ztc,92789,343.8996479513892,21.672414408010983,2021-09-13 00:00:00,Ignore
2021ztb,92788,341.780475,38.07264444444445,2021-09-27 09:40:19.200000,Ignore
2021zta,92787,42.9688625,47.397475,2021-09-27 12:01:26.400000,Ignore
2021zsx,92784,41.64979583333332,-17.163755555555554,2021-09-13 12:08:38.400000,Ignore
2021zsu,92781,258.0769375,30.76905,2021-09-27 04:12:59.003000,Ignore
2021zst,92780,32.03651249999999,0.5164166666666666,2021-09-27 08:06:48.997000,Ignore
2021zss,92779,355.94208333333324,11.999425,2021-09-22 05:11:52.002000,Ignore
2021zsr,92778,240.7328083333333,54.02726944444444,2021-09-23 03:41:38.999000,Ignore
2021zsq,92777,237.4611875,45.08473888888889,2021-09-23 03:45:05.996000,Ignore
2021zsp,92776,30.854279166666657,-7.2781472222222225,2021-09-27 09:04:30,Ignore
2021zsn,92774,260.44590416666665,7.1869000000000005,2021-09-27 04:10:14.998000,Ignore
2021zsm,92773,265.06805,40.307963888888885,2021-09-27 04:14:20.996000,Ignore
2021zsl,92772,236.9604083333333,44.30335833333333,2021-09-27 04:19:48.996000,Ignore
2021zsk,92771,268.8249583333333,51.27885,2021-09-27 04:15:00.999000,Ignore
2021zsj,92770,235.872075,63.53475,2021-09-23 03:43:44.996000,Ignore
2021zsi,92769,250.5571541666666,65.56089722222222,2021-09-27 04:19:06.997000,Ignore
2021zsh,92768,280.5112791666666,33.651827777777775,2021-09-27 04:28:52.997000,Ignore
2021zsg,92767,312.0750166666666,7.492113888888888,2021-09-23 07:12:47.002000,Ignore
2021zsf,92766,306.8296083333333,-8.385991666666666,2021-09-23 07:11:24.999000,Ignore
2021zse,92765,300.3720208333333,50.35178888888889,2021-09-27 04:42:57.997000,Ignore
2021zsd,92764,250.9696666666666,73.46760555555555,2021-09-27 04:45:59.999000,Ignore
2021zsc,92763,293.2924291666667,69.823075,2021-09-21 04:49:03.003000,Ignore
2021zsb,92762,287.8364833333333,44.53102777777778,2021-09-27 04:26:09.001000,Ignore
2021zsa,92761,305.4590333333333,8.066888888888888,2021-09-27 04:38:50.997000,Ignore
2021zrz,92760,247.06593333333325,76.82083888888889,2021-09-27 04:45:59.999000,Ignore
2021zry,92759,333.92422916666663,2.9959972222222224,2021-09-27 05:55:04.996000,Ignore
2021zrx,92758,320.7579375,-25.52533611111111,2021-09-26 05:46:21.999000,Ignore
2021zrw,92757,350.8492041666666,3.086638888888889,2021-09-27 06:28:30.996000,Ignore
2021zrv,92756,350.45726748179305,1.2347172151567762,2021-10-07 00:00:00,Ignore
2021zru,92755,350.6447258106205,4.796453592036982,2021-10-07 00:00:00,Ignore
2021zrt,92754,350.59898630415915,1.106998953390424,2021-09-30 00:00:00,Ignore
2021zrs,92753,20.94468333333333,29.221113888888887,2021-09-27 07:36:51.998000,Ignore
2021zrq,92750,32.52869861389641,2.9082703856881422,2021-10-03 00:00:00,Ignore
2021zrp,92749,30.79316249999999,3.691436111111112,2021-09-27 08:09:32,Ignore
2021zro,92748,48.68224583333333,7.533166666666666,2021-09-27 08:15:39.001000,Ignore
2021zrn,92747,36.47136343055944,21.130721820599717,2021-10-04 00:00:00,Ignore
2021zrm,92746,43.90350416666666,8.912033333333333,2021-09-27 08:16:19.998000,Ignore
2021zrl,92745,350.58181395553544,-9.558827412884252,2021-09-28 00:00:00,Ignore
2021zrk,92744,103.5843125,85.99376666666667,2021-09-22 08:44:29.999000,Ignore
2021zrj,92743,52.62160862762413,2.208999154176186,2021-10-28 00:00:00,Ignore
2021zrh,92741,160.79408749999996,39.038980555555554,2021-09-27 12:20:01.997000,Ignore
2021zrg,92740,155.3365625,37.90195,2021-09-27 12:20:01.997000,Ignore
2021zrf,92739,155.61460416666665,27.66126388888889,2021-09-27 12:34:49.999000,Ignore
2021zre,92738,156.02577499999998,27.498575,2021-09-27 12:34:49.999000,Ignore
2021zrd,92737,348.3564678012756,3.953700405024115,2021-09-13 00:00:00,Ignore
2021zrc,92736,62.11754166666666,43.01453055555555,2021-09-27 12:08:38.400000,Ignore
2021zrb,92735,312.48687916666665,-5.054758333333333,2021-09-09 06:46:04.800000,Ignore
2021zra,92734,350.8781083333333,-18.144175,2021-09-13 09:53:16.800000,Ignore
2021zqz,92733,45.242972211506704,-6.551976384516488,2021-09-04 00:00:00,Ignore
2021zqy,92712,240.834475,20.632719444444444,2021-09-01 04:44:25.728000,Ignore
2021zqx,92711,355.7740208333333,18.656575,2021-09-10 08:36:31.680000,Ignore
2021zqw,92710,328.8653383442209,2.820134013074232,2021-09-26 00:00:00,Ignore
2021zqv,92709,335.18827083333326,7.04055,2021-09-23 09:43:12,Ignore
2021zqu,92708,336.68623749999995,4.510641666666666,2021-09-26 00:00:00,Ignore
2021zqt,92707,21.851158792112862,-14.808530789352124,2021-09-27 00:00:00,Ignore
2021zqr,92704,159.11729166666666,37.37733055555556,2021-09-26 12:24:28.800000,Ignore
2021zqq,92703,153.47471249999998,21.984261111111117,2021-09-26 12:31:40.800000,Ignore
2021zqp,92702,154.48990416666666,23.105369444444445,2021-09-22 12:27:21.600000,Ignore
2021zqe,92691,283.00145833333335,-31.9912,2021-09-16 10:03:21.600000,Ignore
2021zqb,92688,36.42061666666666,-4.685697222222222,2021-09-04 13:58:04.800000,Ignore
2021zpz,92685,36.873756889276514,-17.510756227656316,2021-09-13 00:00:00,Ignore
2021zpw,92682,346.9171750994171,-18.032582099557075,2021-09-08 00:00:00,Ignore
2021zpu,92680,2.94950086509449,-2.2405927933135668,2021-09-09 00:00:00,Ignore
2021zpt,92679,351.1803072430497,7.315474551364209,2021-09-13 00:00:00,Ignore
2021zps,92678,335.2555625,1.104738888888889,2021-09-09 08:08:09.600000,Ignore
2021zpr,92677,319.8073583333333,-11.115725,2021-09-08 07:45:07.200000,Ignore
2021zpq,92676,334.592125,-1.009225,2021-09-08 08:47:02.400000,Ignore
2021zpp,92675,331.1034842965244,-21.553562471080298,2021-09-11 00:00:00,Ignore
2021zpo,92671,52.86572083333332,-23.55698888888889,2021-09-11 13:59:31.200000,Ignore
2021zpn,92670,340.6741583333333,-8.360516666666665,2021-09-07 00:00:00,Ignore
2021zpm,92669,16.580120833333332,6.902208333333333,2021-09-04 12:27:21.600000,Ignore
2021zpl,92668,60.93435833333332,-7.615016666666666,2021-09-13 13:14:52.800000,Ignore
2021zpk,92667,309.1010833333333,-22.907041666666665,2021-09-08 07:00:28.800000,Ignore
2021zpi,92665,44.880133333333326,-2.978633333333333,2021-09-04 00:00:00,Ignore
2021zph,92664,26.171875,4.101063888888889,2021-09-04 12:36:00,Ignore
2021zpg,92663,353.8737093903185,6.09826561782587,2021-09-07 00:00:00,Ignore
2021zpf,92662,25.582265298692253,-2.1703768314668483,2021-09-08 00:00:00,Ignore
2021zpe,92661,260.8677708333333,2.675705555555556,2021-09-07 06:01:26.400000,Ignore
2021zpd,92660,359.6208249999999,6.044580555555555,2021-09-13 00:00:00,Ignore
2021zpc,92659,31.47848711976298,21.4720103896453,2021-09-13 00:00:00,Ignore
2021zpb,92657,32.468623924277,-6.884746164763057,2021-09-04 00:00:00,Ignore
2021zpa,92656,69.61881666666665,-24.522713888888887,2021-09-21 13:23:31.200000,Ignore
2021zoy,92654,14.889962499999998,-3.485625,2021-09-08 12:43:12,Ignore
2021zox,92653,32.4621125,17.899275,2021-09-11 10:53:45.600000,Ignore
2021zow,92652,31.43388114122114,-20.8863000256826,2021-09-13 00:00:00,Ignore
2021zov,92651,43.50437916666666,-6.802113888888889,2021-09-04 00:00:00,Ignore
2021zou,92650,23.82784883482729,-2.858354584533713,2021-09-08 00:00:00,Ignore
2021zot,92649,33.94232257000567,-7.041370541686845,2021-09-04 00:00:00,Ignore
2021zos,92648,38.55360833333333,-1.2786527777777776,2021-09-04 13:59:31.200000,Ignore
2021zor,92647,41.50659583333333,-19.413825,2021-09-13 12:05:45.600000,Ignore
2021zoq,92646,51.23895833333332,-18.436397222222222,2021-09-11 13:56:38.400000,Ignore
2021zop,92645,14.386314823259362,-2.55667702883529,2021-09-09 00:00:00,Ignore
2021zoo,92644,3.1545541666666663,-26.135827777777777,2021-09-10 10:32:09.600000,Ignore
